lexeme,category,declension,variation,kind,additional_info
alter,a1,1,4,POS,XXXAO
alteruter,a1,1,4,POS,XXXCO
neuter,a1,1,4,POS,XXXDX
sesqualter,a1,1,4,POS,ESXEM
sesquealter,a1,1,4,POS,XSXEO
sesquialter,a1,1,4,POS,XSSEO
sexqualter,a1,1,4,POS,FSXEM
sexquialter,a1,1,4,POS,FSSFM
uter,a1,1,4,POS,XXXAO
alius,a1,1,5,POS,XXXAQ
alisalius,a1,1,5,POS,EXXEW
amethystizon,a3,3,normal,POS,XXXNO
chrysizon,a3,3,normal,POS,XXXNO
Persis,a3,3,normal,POS,XXPFO
anterior,a,?,normal,COMP,XXXEO
exploratior,a,?,normal,COMP,XXXEZ
interior,a,?,normal,COMP,XXXBX
junior,a,?,normal,COMP,XXXDX
ocior,a,?,normal,COMP,XXXDX
potior,a,?,normal,COMP,XXXAO
prior,a,?,normal,COMP,XXXAX
propior,a,?,normal,COMP,XXXAO
proxior,a,?,normal,COMP,XXXEO
proximior,a,?,normal,COMP,FXXDM
adprimus,a,?,normal,SUPER,XXXEO
apprimus,a,?,normal,SUPER,XXXEO
complurimus,a,?,normal,SUPER,XXXEO
conplurimus,a,?,normal,SUPER,XXXEO
eminentissimus,a,?,normal,SUPER,XLXEO
imus,a,?,normal,SUPER,XXXDX
infimus,a,?,normal,SUPER,XXXDX
infumus,a,?,normal,SUPER,XXXDX
intimus,a,?,normal,SUPER,XXXBX
maturrimus,a,?,normal,SUPER,XXXDS
maximus,a,?,normal,SUPER,XXXAO
maxumus,a,?,normal,SUPER,BXXAO
medioximus,a,?,normal,SUPER,EXXDX
ocissimus,a,?,normal,SUPER,XXXDX
optumus,a,?,normal,SUPER,XXXCO
parissumus,a,?,normal,SUPER,BXXFS
parisumus,a,?,normal,SUPER,BXXIS
parvissimus,a,?,normal,SUPER,XXXEX
pessimus,a,?,normal,SUPER,XXXAO
pessumus,a,?,normal,SUPER,XXXAO
posthumus,a,?,normal,SUPER,XLXES
postremus,a,?,normal,SUPER,XXXAO
postumus,a,?,normal,SUPER,XLXCO
potissimus,a,?,normal,SUPER,XXXDX
proximus,a,?,normal,SUPER,XXXAO
proxumus,a,?,normal,SUPER,XXXAO
summus,a,?,normal,SUPER,XXXDX
ultumus,a,?,normal,SUPER,BXXEX
utillimus,a,?,normal,SUPER,XXXFX
acanthicos,a,?,normal,SUPER,XAXNO
acapnos,a,?,normal,SUPER,XAXES
acaustos,a,?,normal,SUPER,XXXNO
acephalos,a,?,normal,SUPER,XPXFO
acharistos,a,?,normal,SUPER,EXHEP
acosmos,a,?,normal,SUPER,XXXFO
acrolithos,a,?,normal,SUPER,XXXEO
adiaphoros,a,?,normal,SUPER,XXHFS
adynamos,a,?,normal,SUPER,XXXNO
agios,a,?,normal,SUPER,FXHFE
alectorios,a,?,normal,SUPER,XXXNO
amphemerinos,a,?,normal,SUPER,XXXNO
amusos,a,?,normal,SUPER,XDXFO
anarchos,a,?,normal,SUPER,FXXEN
ancyloblepharos,a,?,normal,SUPER,XBXFO
anodynos,a,?,normal,SUPER,DXXES
anonomastos,a,?,normal,SUPER,DEXES
anthophoros,a,?,normal,SUPER,XAXNO
apyros,a,?,normal,SUPER,XTXEO
aracostylos,a,?,normal,SUPER,XTXFO
arcticos,a,?,normal,SUPER,XXXFO
arrhenogonos,a,?,normal,SUPER,XBXNO
arteriacos,a,?,normal,SUPER,XBXDO
asarotos,a,?,normal,SUPER,XXXEO
atechnos,a,?,normal,SUPER,XXXFO
auleticos,a,?,normal,SUPER,XAXNO
autopyros,a,?,normal,SUPER,XAXEO
barythonos,a,?,normal,SUPER,DGXFS
bicepsos,a,?,normal,SUPER,XXXFS
bucolicos,a,?,normal,SUPER,XPXEO
cacozelos,a,?,normal,SUPER,XXXEO
calliplocamos,a,?,normal,SUPER,XXXFO
callisphyros,a,?,normal,SUPER,XXXFO
capnios,a,?,normal,SUPER,XAXNO
caryinos,a,?,normal,SUPER,XXXNS
catalecticos,a,?,normal,SUPER,XPXFO
cathetos,a,?,normal,SUPER,XSXEO
cephalotos,a,?,normal,SUPER,XXXFS
chironomos,a,?,normal,SUPER,XDXFO
chromaticos,a,?,normal,SUPER,XDXFO
chrysocarpos,a,?,normal,SUPER,XAXNO
chrysopteros,a,?,normal,SUPER,XXXNO
clinicos,a,?,normal,SUPER,XBXNO
colobos,a,?,normal,SUPER,DPXES
cosmicos,a,?,normal,SUPER,XXXEO
dartos,a,?,normal,SUPER,XBXFO
decastylos,a,?,normal,SUPER,XTXFO
diadumenos,a,?,normal,SUPER,XXXEO
diagonios,a,?,normal,SUPER,XSXFO
dialecticos,a,?,normal,SUPER,XGXCO
dialeucos,a,?,normal,SUPER,XXXNO
diametros,a,?,normal,SUPER,XSXFO
diastylos,a,?,normal,SUPER,XTXFO
diatonos,a,?,normal,SUPER,XDXFO
dichotomos,a,?,normal,SUPER,DXXES
dicticos,a,?,normal,SUPER,DXXES
diezeugmenos,a,?,normal,SUPER,XDXFO
dipteros,a,?,normal,SUPER,XTHFO
distichos,a,?,normal,SUPER,XPXEO
epitritos,a,?,normal,SUPER,XPXEO
epogdoos,a,?,normal,SUPER,DDXES
hagios,a,?,normal,SUPER,FXHFE
hemiolios,a,?,normal,SUPER,XXXFO
hieros,a,?,normal,SUPER,XXXEO
monogrammos,a,?,normal,SUPER,XXXEO
mythicos,a,?,normal,SUPER,XEXFO
octachordos,a,?,normal,SUPER,XXXFS
octophoros,a,?,normal,SUPER,XXXEC
opisthotonos,a,?,normal,SUPER,FBXEM
organicos,a,?,normal,SUPER,XXXFO
paralios,a,?,normal,SUPER,XAXNS
peripteros,a,?,normal,SUPER,XTXDO
philargyros,a,?,normal,SUPER,XXXFO
physicos,a,?,normal,SUPER,XXXDO
pycnostylos,a,?,normal,SUPER,XXXFS
tetrachordos,a,?,normal,SUPER,XDXFO
tetracordos,a,?,normal,SUPER,XDXFO
tetrastylos,a,?,normal,SUPER,XTXFS
aeroides,Ga,0,normal,POS,var:
aphrodes,Ga,0,normal,POS,var:
aplanes,Ga,0,normal,POS,var:
arachnoides,Ga,0,normal,POS,var:
carcinodes,Ga,0,normal,POS,var:
catorchites,Ga,0,normal,POS,var:
caulodes,Ga,0,normal,POS,var:
causodes,Ga,0,normal,POS,var:
ceratoides,Ga,0,normal,POS,var:
chrysoaspides,Ga,0,normal,POS,var:
crystalloides,Ga,0,normal,POS,var:
daphnoides,Ga,0,normal,POS,var:
dendroides,Ga,0,normal,POS,var:
diopetes,Ga,0,normal,POS,var:
diphryges,Ga,0,normal,POS,var:
isocheles,Ga,0,normal,POS,var:
isosceles,Ga,0,normal,POS,var:
isoscelles,Ga,0,normal,POS,var:
protogenes,Ga,0,normal,POS,var:
rhypodes,Ga,0,normal,POS,var:
smaragdites,Ga,0,normal,POS,var:
Thecuites,Ga,0,normal,POS,var:
zmaragdites,Ga,0,normal,POS,var:
adinstar,a0,0,normal,POS,XXXES
aliquod,a0,0,normal,POS,XXXCO
aliquot,a0,0,normal,POS,XXXCO
amplius,a0,0,normal,POS,XXXCL
autumnal,a0,0,normal,POS,BXXDX
damnas,a0,0,normal,POS,XLXCO
frugi,a0,0,normal,POS,XXXCO
macte,a0,0,normal,POS,XXXDX
macti,a0,0,normal,POS,XXXDX
necesse,a0,0,normal,POS,XXXBO
necessis,a0,0,normal,POS,XXXBO
necessum,a0,0,normal,POS,XXXCO
necessus,a0,0,normal,POS,XXXCO
nequam,a0,0,normal,POS,XXXBO
nequior,a0,0,normal,POS,XXXCO
nequissimus,a0,0,normal,POS,XXXCO
pote,a0,0,normal,POS,XXXDX
potis,a0,0,normal,POS,XXXAX
quot,a0,0,normal,POS,XXXAX
quotcumque,a0,0,normal,POS,XXXEO
quotcunque,a0,0,normal,POS,XXXEO
raca,a0,0,normal,POS,EEQFP
racha,a0,0,normal,POS,EEQFP
sat,a0,0,normal,POS,XXXCO
satis,a0,0,normal,POS,XXXAO
satius,a0,0,normal,POS,XXXCO
totidem,a0,0,normal,POS,XXXBO
abactus,a1,1,1,POS,XXXES
abactius,a1,1,1,POS,XAXEO
abalienatus,a1,1,1,POS,XXXDO
abascantus,a1,1,1,POS,XXXFS
abbreviatus,a1,1,1,POS,EXXCW
abdicativus,a1,1,1,POS,DXXES
abditus,a1,1,1,POS,XXXBO
abditivus,a1,1,1,POS,XXXFC
abecedarius,a1,1,1,POS,DXXFS
abellanus,a1,1,1,POS,XAXCO
abhorridus,a1,1,1,POS,XXXFO
abiegnus,a1,1,1,POS,XAXCO
abiegneus,a1,1,1,POS,XAXEO
abiegnius,a1,1,1,POS,XAXEO
abietarius,a1,1,1,POS,XAXEO
abjectus,a1,1,1,nor,XXXBL
abjudicativus,a1,1,1,POS,DSXFS
ablativus,a1,1,1,POS,XGXEO
abnegativus,a1,1,1,POS,EXXCE
abnutivus,a1,1,1,POS,XXXFO
abominandus,a1,1,1,POS,XXXCO
abominatus,a1,1,1,POS,XXXES
abominosus,a1,1,1,POS,DXXFS
aborigineus,a1,1,1,POS,XXXFO
aborsus,a1,1,1,POS,DBXES
abortivus,a1,1,1,POS,XBXCO
abrelictus,a1,1,1,POS,DXXFS
abruptus,a1,1,1,nor,XXXBO
abscisus,a1,1,1,nor,XXXCO
absconditus,a1,1,1,POS,XXXAO
absconsus,a1,1,1,POS,EXXCE
absentivus,a1,1,1,POS,XXXFS
absidatus,a1,1,1,POS,DTXES
absinthius,a1,1,1,POS,XAXFS
absistus,a1,1,1,POS,DXXFS
absolutus,a1,1,1,POS,GXXEK
absolutorius,a1,1,1,POS,XXXCO
absonus,a1,1,1,POS,XXXCO
absortus,a1,1,1,POS,EXXDP
abstemius,a1,1,1,POS,XXXCO
abstractus,a1,1,1,POS,DSXES
abstrusus,a1,1,1,nor,XXXBO
absurdus,a1,1,1,POS,XXXBO
abundus,a1,1,1,POS,XXXFO
abusivus,a1,1,1,POS,DXXES
academicus,a1,1,1,POS,XXXCO
acanthius,a1,1,1,POS,XAXFO
acanthinus,a1,1,1,POS,XAXDO
acapnus,a1,1,1,POS,XAXEO
acatalectus,a1,1,1,POS,DPXFS
acatalecticus,a1,1,1,POS,DPXFS
acatholicus,a1,1,1,POS,FEXFE
acaustus,a1,1,1,POS,XXXNS
accensus,a1,1,1,POS,XWXFS
acceptus,a1,1,1,nor,XXXBO
acceptarius,a1,1,1,POS,XLXFO
acceptatus,a1,1,1,nor,XLXFO
acceptorius,a1,1,1,POS,XXXFO
accersitus,a1,1,1,POS,XXXCO
accessorius,a1,1,1,POS,FEXEE
accinctus,a1,1,1,POS,XXXES
accitus,a1,1,1,POS,XXXEO
acclivus,a1,1,1,POS,XXXCO
acclivius,a1,1,1,POS,EXXCN
accommodus,a1,1,1,POS,XXXEO
accommodatus,a1,1,1,nor,XXXCO
accomodus,a1,1,1,POS,XXXEO
accomodatus,a1,1,1,nor,XXXEO
accretus,a1,1,1,POS,XXXNO
accubitorius,a1,1,1,POS,DXXFS
accuratus,a1,1,1,nor,XXXCO
accusativus,a1,1,1,POS,XGXEO
accusatorius,a1,1,1,POS,XLXCO
acediosus,a1,1,1,POS,EXXFP
acentetus,a1,1,1,POS,XXXEO
acephalus,a1,1,1,POS,DPXFS
acerus,a1,1,1,POS,XAXFS
aceratus,a1,1,1,POS,XXXEO
acerbus,a1,1,1,nor,XXXAO
acernus,a1,1,1,POS,XAXCO
acerneus,a1,1,1,POS,XAXIO
acerosus,a1,1,1,POS,XAXEO
acetosus,a1,1,1,POS,FXXEK
acidus,a1,1,1,nor,XXXBO
acidulus,a1,1,1,POS,XXXEO
acinarius,a1,1,1,POS,XXXFO
acinaticius,a1,1,1,POS,XAXFO
acinosus,a1,1,1,POS,XAXNO
acoenonetus,a1,1,1,POS,XXXFS
acoenonoetus,a1,1,1,POS,XXXFO
acquisitus,a1,1,1,POS,XXXFO
acriculus,a1,1,1,POS,XXXFO
acroamatarius,a1,1,1,POS,DDXFS
acroamaticus,a1,1,1,POS,DDXFS
acroaticus,a1,1,1,POS,XXXEO
acrobaticus,a1,1,1,POS,GXXEK
acrolithus,a1,1,1,POS,XXXEO
acrozymus,a1,1,1,POS,DXXFS
acrufolius,a1,1,1,POS,XAXFO
actinosus,a1,1,1,POS,DEXFS
activus,a1,1,1,POS,XXXEO
actorius,a1,1,1,POS,DXXFS
actuarius,a1,1,1,POS,XXXCO
actuosus,a1,1,1,POS,XXXCO
aculeatus,a1,1,1,POS,XXXCO
acuminarius,a1,1,1,POS,XXXFS
acuminatus,a1,1,1,POS,XXXNO
acupedius,a1,1,1,POS,XXXFS
acusticus,a1,1,1,POS,GDXEK
acutus,a1,1,1,POS,XSXCO
acutarus,a1,1,1,POS,DXXFS
acutatus,a1,1,1,POS,DXXFS
acutulus,a1,1,1,POS,XXXEO
adaequatus,a1,1,1,POS,FXXEE
adalgidus,a1,1,1,POS,XXXES
adamanteus,a1,1,1,POS,XTXEO
adamantinus,a1,1,1,POS,XXXCO
adapertivus,a1,1,1,POS,EXXFP
adaptertus,a1,1,1,POS,XXXDO
adariarius,a1,1,1,POS,DEXFS
adbreviatus,a1,1,1,POS,EXXCW
adclivus,a1,1,1,POS,XXXCO
adcommodus,a1,1,1,POS,XXXEO
adcommodatus,a1,1,1,nor,XXXCO
adcretus,a1,1,1,POS,XXXNO
adcubitorius,a1,1,1,POS,DXXFS
adcuratus,a1,1,1,nor,XXXCO
addendus,a1,1,1,POS,FXXEE
addictus,a1,1,1,nor,XLXCO
additicius,a1,1,1,POS,XXXFO
addititius,a1,1,1,POS,FXXFE
additivus,a1,1,1,POS,DXXFS
adductus,a1,1,1,nor,XXXCO
adesus,a1,1,1,POS,XXXES
adfabricatus,a1,1,1,POS,XXXFS
