|--------------------|----------|------------|--------|------|-----------------|
| lexeme             | category | declension | gender | kind | additional_info |
|--------------------|----------|------------|--------|------|-----------------|
| abamita            | s1F      |          1 | F      | P    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| abavia             | s1F      |          1 | F      | P    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| abbatia            | s1F      |          1 | F      | T    | EEXCE           |
|--------------------|----------|------------|--------|------|-----------------|
| abbatissa          | s1F      |          1 | F      | P    | EEXCE           |
|--------------------|----------|------------|--------|------|-----------------|
| abecedaria         | s1F      |          1 | F      | T    | DXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| abellana           | s1F      |          1 | F      | T    | XAXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| abiga              | s1F      |          1 | F      | T    | DBXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| ablepsia           | s1F      |          1 | F      | T    | DBXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| abmatertera        | s1F      |          1 | F      | P    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| abolla             | s1C      |          1 | C      | T    | XXXEL           |
|--------------------|----------|------------|--------|------|-----------------|
| abra               | s1F      |          1 | F      | P    | EXXCE           |
|--------------------|----------|------------|--------|------|-----------------|
| absentia           | s1F      |          1 | F      | T    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| absida             | s1F      |          1 | F      | T    | XSXCS           |
|--------------------|----------|------------|--------|------|-----------------|
| absidiola          | s1F      |          1 | F      | T    | FEXFE           |
|--------------------|----------|------------|--------|------|-----------------|
| absonia            | s1F      |          1 | F      | T    | FDXEZ           |
|--------------------|----------|------------|--------|------|-----------------|
| abstantia          | s1F      |          1 | F      | T    | XXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| abstemia           | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| abstinentia        | s1F      |          1 | F      | T    | XXXBO           |
|--------------------|----------|------------|--------|------|-----------------|
| abundantia         | s1F      |          1 | F      | T    | XXXBO           |
|--------------------|----------|------------|--------|------|-----------------|
| acacia             | s1F      |          1 | F      | T    | XAXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| Academia           | s1F      |          1 | F      | W    | XXXBO           |
|--------------------|----------|------------|--------|------|-----------------|
| acarna             | s1F      |          1 | F      | T    | XAXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| acatalepsia        | s1F      |          1 | F      | T    | FXXFM           |
|--------------------|----------|------------|--------|------|-----------------|
| acaunumarga        | s1F      |          1 | F      | T    | XXXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| accedentia         | s1F      |          1 | F      | T    | XXXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| accentiuncula      | s1F      |          1 | F      | T    | XGXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| accepta            | s1F      |          1 | F      | T    | XLXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| accessa            | s1F      |          1 | F      | T    | DXXES           |
|--------------------|----------|------------|--------|------|-----------------|
| accidentia         | s1F      |          1 | F      | T    | XXXES           |
|--------------------|----------|------------|--------|------|-----------------|
| accipitrina        | s1F      |          1 | F      | T    | XAXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| accola             | s1C      |          1 | C      | P    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| accubitalia        | s1F      |          1 | F      | T    | XXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acedia             | s1F      |          1 | F      | T    | EXXFP           |
|--------------------|----------|------------|--------|------|-----------------|
| acernia            | s1F      |          1 | F      | T    | DAXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acerra             | s1F      |          1 | F      | T    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| acescentia         | s1F      |          1 | F      | T    | FXXEE           |
|--------------------|----------|------------|--------|------|-----------------|
| acharna            | s1F      |          1 | F      | T    | XAXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| acheta             | s1M      |          1 | M      | T    | XAXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| acia               | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| acicula            | s1F      |          1 | F      | T    | DXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acina              | s1F      |          1 | F      | T    | XAXFL           |
|--------------------|----------|------------|--------|------|-----------------|
| aclouthia          | s1F      |          1 | F      | T    | FEXFE           |
|--------------------|----------|------------|--------|------|-----------------|
| acna               | s1F      |          1 | F      | T    | XAXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acnua              | s1F      |          1 | F      | T    | XAXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| acona              | s1F      |          1 | F      | T    | XXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acorna             | s1F      |          1 | F      | T    | XAXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| acra               | s1F      |          1 | F      | T    | XXXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acredula           | s1F      |          1 | F      | T    | XAXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| acrimonia          | s1F      |          1 | F      | T    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| acta               | s1F      |          1 | F      | W    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| actaea             | s1F      |          1 | F      | T    | XAXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| actiuncula         | s1F      |          1 | F      | T    | XLXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| actuaria           | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| actuariola         | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| acula              | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| acuna              | s1F      |          1 | F      | T    | XAXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| acupictura         | s1F      |          1 | F      | T    | FXXEE           |
|--------------------|----------|------------|--------|------|-----------------|
| acupunctura        | s1F      |          1 | F      | T    | GBXEK           |
|--------------------|----------|------------|--------|------|-----------------|
| acyrologia         | s1F      |          1 | F      | T    | DGXFS           |
|--------------------|----------|------------|--------|------|-----------------|
| adarca             | s1F      |          1 | F      | T    | XAXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| adcedentia         | s1F      |          1 | F      | T    | XXXNO           |
|--------------------|----------|------------|--------|------|-----------------|
| adcola             | s1C      |          1 | C      | P    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| addicta            | s1F      |          1 | F      | P    | XLXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| adfania            | s1F      |          1 | F      | T    | XXXES           |
|--------------------|----------|------------|--------|------|-----------------|
| adfluentia         | s1F      |          1 | F      | T    | XXXCO           |
|--------------------|----------|------------|--------|------|-----------------|
| adgnata            | s1F      |          1 | F      | P    | XXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| adgressura         | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| adhaesiona         | s1F      |          1 | F      | T    | FXXFZ           |
|--------------------|----------|------------|--------|------|-----------------|
| adlectura          | s1F      |          1 | F      | T    | XXXIO           |
|--------------------|----------|------------|--------|------|-----------------|
| adlibentia         | s1F      |          1 | F      | T    | XXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| adligatura         | s1F      |          1 | F      | T    | XXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| adlubentia         | s1F      |          1 | F      | T    | XXXFO           |
|--------------------|----------|------------|--------|------|-----------------|
| administra         | s1F      |          1 | F      | P    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| admissura          | s1F      |          1 | F      | T    | FXXEE           |
|--------------------|----------|------------|--------|------|-----------------|
| adnotatiuncula     | s1F      |          1 | F      | T    | XXXEO           |
|--------------------|----------|------------|--------|------|-----------------|
| adolescentia       | s1F      |          1 | F      | T    | XXXBO           |
|--------------------|----------|------------|--------|------|-----------------|
