lexeme,category,conjugation,variation,kind,additional_info
abaestuo,v1,1,nor,INT,DXXFS
abalieno,v1,1,nor,TRA,XXXBS
abambulo,v1,1,nor,INT,XXXFO
abbatizo,v1,1,nor,INT,FEXFM
abbibo,v3,3,nor,nor,XXXDO
abbito,v3,3,nor,INT,XXXFO
abbrevio,v1,1,nor,TRA,EXXCE
abdo,v3,3,nor,TRA,XXXAO
abdico,v1,1,nor,TRA,XLXBO
abdico,v3,3,nor,TRA,XLXEO
abduco,v3,3,nor,TRA,XXXAO
abeo,v6,6,1,INT,XXXAO
abequito,v1,1,nor,INT,XXXEO
aberro,v1,1,nor,INT,XXXBO
abfero,v3,3,nor,TRA,XXXCO
abfluo,v3,3,nor,INT,XXXEO
abfugio,v3,3,nor,nor,XXXCO
abhorresco,v3,3,nor,nor,DEXFS
abico,v3,3,nor,TRA,EXXCN
abicio,v3,3,nor,TRA,XXXAO
abigo,v3,3,nor,TRA,XXXBO
abito,v1,1,nor,INT,XXXFC
abjecto,v1,1,nor,TRA,FXXCV
abjicio,v3,3,nor,TRA,XXXAS
abjudico,v1,1,nor,TRA,XLXCO
abjugo,v1,1,nor,TRA,XXXES
abjungo,v3,3,nor,TRA,XXXBO
abjuro,v1,1,nor,TRA,XLXCO
abjurgo,v1,1,nor,TRA,XLXEO
ablacto,v1,1,nor,INT,EXXCE
ablacuo,v1,1,nor,TRA,XAXEO
ablaqueo,v1,1,nor,TRA,XAXEO
ablego,v1,1,nor,TRA,XXXCO
abligurio,v4,4,nor,TRA,XXXEO
abligurrio,v4,4,nor,TRA,XXXFL
abloco,v1,1,nor,TRA,XXXEO
abluo,v3,3,nor,TRA,XXXBO
abludo,v3,3,nor,INT,XXXEO
abnato,v1,1,nor,INT,XXXEO
abnego,v1,1,nor,TRA,XXXCO
abnocto,v1,1,nor,INT,XXXEO
abnodo,v1,1,nor,TRA,DAXFS
abnuo,v3,3,nor,nor,XXXAO
abnumero,v1,1,nor,TRA,DSXFS
abnuto,v1,1,nor,INT,BXXCL
abolefacio,v3,3,nor,TRA,DXXFS
abolefio,v3,3,nor,SEM,DXXFS
abolesco,v3,3,nor,INT,XXXCO
abomino,v1,1,nor,TRA,BXXFS
aborio,v4,4,nor,DEP,XXXCO
aborisco,v3,3,nor,INT,XXXFO
aborto,v1,1,nor,INT,XAXFO
abortio,v4,4,nor,INT,DBXFS
abrado,v3,3,nor,TRA,XXXCO
abrenuntio,v1,1,nor,TRA,EXXCE
abripio,v3,3,nor,TRA,XXXBO
abrodo,v3,3,nor,TRA,XXXEO
abrogo,v1,1,nor,TRA,XLXBO
abrumpo,v3,3,nor,TRA,XXXAO
abscedo,v3,3,nor,INT,XXXAO
abscido,v3,3,nor,TRA,XXXBO
abscindo,v3,3,nor,TRA,XXXBO
abscondo,v3,3,nor,nor,XXXBO
absento,v1,1,nor,TRA,XXXES
absilio,v4,4,nor,INT,XXXDO
absisto,v3,3,nor,INT,XXXCO
absolvo,v3,3,nor,TRA,XLXAO
absono,v1,1,nor,INT,XXXFO
absto,v1,1,nor,nor,XXXCO
abstergo,v3,3,nor,TRA,XXXCO
abstraho,v3,3,nor,TRA,XXXAO
abstrudo,v3,3,nor,TRA,XXXCO
abstulo,v3,3,nor,TRA,XXXFO
absumo,v3,3,nor,TRA,XXXAO
abundo,v1,1,nor,nor,XXXAO
abuto,v3,3,nor,DEP,XXXAO
abverto,v3,3,nor,nor,XXXES
accano,v3,3,nor,nor,XDXFS
accanto,v3,3,nor,nor,XDXEO
accapito,v1,1,nor,INT,FLXFM
accedo,v3,3,nor,nor,XXXAO
accelero,v1,1,nor,nor,XXXBO
accendo,v3,3,nor,TRA,XXXAO
accento,v3,3,nor,nor,XDXEO
accepto,v1,1,nor,TRA,XXXCO
accerso,v3,3,nor,TRA,XXXCS
accersio,v4,4,nor,TRA,XXXDO
accessito,v1,1,nor,INT,XXXFO
